group1,group2,meandiff,lower,upper,reject,p-adj,cytokine,group,-log10(p-adj),significant,apoptotic,pyroptotic,apoptotic_vs_pyroptotic,consensus
apoptosis,pyroptosis,-0.0863,-0.4282,0.2557,False,0.5689,CCL8 [NSU],apoptosis_pyroptosis,0.2449640662322285,False,False,False,False,none
healthy,pyroptosis,0.2629,0.111,0.4148,True,0.0,CCL8 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.3826,-0.5996,-0.1655,True,0.0,CD14 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.4911,-0.7084,-0.2738,True,0.0,CD14 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.1086,-0.2051,-0.012,True,0.0,CD14 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0614,-0.185,0.3077,False,0.5769,CD163 [NSU],apoptosis_healthy,0.2388994610418577,False,False,False,False,none
apoptosis,pyroptosis,-0.0726,-0.3193,0.1741,False,0.4648,CD163 [NSU],apoptosis_pyroptosis,0.3327338806177257,False,False,False,False,none
healthy,pyroptosis,-0.134,-0.2435,-0.0244,True,0.0,CD163 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0083,-0.2683,0.2848,False,0.992,CD276 (B7-H3) [NSU],apoptosis_healthy,0.0034883278458213,False,False,False,False,none
apoptosis,pyroptosis,-0.0746,-0.3515,0.2023,False,0.5257,CD276 (B7-H3) [NSU],apoptosis_pyroptosis,0.2792620229815748,False,False,False,False,none
healthy,pyroptosis,-0.0829,-0.2059,0.0401,False,0.0204,CD276 (B7-H3) [NSU],healthy_pyroptosis,1.6903698325741012,True,False,True,False,pyroptotic
apoptosis,healthy,0.0847,-0.1502,0.3196,False,0.3181,CD27L [NSU],apoptosis_healthy,0.4974363308926366,False,False,False,False,none
apoptosis,pyroptosis,-0.0063,-0.2415,0.229,False,0.9937,CD27L [NSU],apoptosis_pyroptosis,0.0027447101798967,False,False,False,False,none
healthy,pyroptosis,-0.091,-0.1955,0.0135,False,0.0018,CD27L [NSU],healthy_pyroptosis,2.744727494896694,True,False,True,False,pyroptotic
apoptosis,healthy,0.0864,-0.2276,0.4004,False,0.5115,CD30 [NSU],apoptosis_healthy,0.291154361951821,False,False,False,False,none
apoptosis,pyroptosis,0.1305,-0.1839,0.4449,False,0.2205,CD30 [NSU],apoptosis_pyroptosis,0.6565914061961426,False,False,False,False,none
healthy,pyroptosis,0.0441,-0.0956,0.1837,False,0.4147,CD30 [NSU],healthy_pyroptosis,0.3822659646359821,False,False,False,False,none
apoptosis,healthy,-0.1501,-0.3953,0.0951,False,0.0394,CD40L [NSU],apoptosis_healthy,1.4045037781744258,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.0239,-0.2694,0.2217,False,0.9192,CD40L [NSU],apoptosis_pyroptosis,0.0365899843197712,False,False,False,False,none
healthy,pyroptosis,0.1263,0.0172,0.2353,True,0.0,CD40L [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
